evaluation_set,training_variant,model,accuracy,average_precision,average_recall,average_f1,source
validation,untuned,efficientnetb0,0.8407960199004975,0.6254656306384959,0.6803430110994828,0.6457410881801127,model_comparison.csv
validation,untuned,mobilenetv2,0.8383084577114428,0.6023589675944246,0.5584406751399228,0.5574094325539413,model_comparison.csv
validation,untuned,custom_cnn,0.8233830845771144,0.2744610281923714,0.3333333333333333,0.3010459299681673,model_comparison.csv
validation,tuned,efficientnetb0,0.8208955223880597,0.611672278338945,0.6216500251213835,0.6165048414165912,tuned_model_comparison.csv
validation,tuned,mobilenetv2,0.7736318407960199,0.6092219226977174,0.5353410694030326,0.5451625573415743,tuned_model_comparison.csv
validation,tuned,custom_cnn,0.8233830845771144,0.27446102819237145,0.3333333333333333,0.3010459299681673,tuned_model_comparison.csv
test,tuned,efficientnetb0,0.8411910669975186,0.6469958126399845,0.638362656240744,0.6403776020753634,model_metadata.json finalTestMetrics
