model,accuracy,average_precision,average_recall,average_f1
efficientnetb0,0.8407960199004975,0.6254656306384959,0.6803430110994828,0.6457410881801127
mobilenetv2,0.8383084577114428,0.6023589675944246,0.5584406751399228,0.5574094325539413
custom_cnn,0.8233830845771144,0.27446102819237145,0.3333333333333333,0.3010459299681673
